GeneId	mRNA_log2FC	RPF_log2FC	log2FC_TE_v1	pvalue_v1	control_log2TE	treat_log2TE	log2FC_TE_v2	pvalue_v2	log2FC_TE_final	pvalue_final	pvalue.adjust	colorscale	category
ENSMUSG00000038456	7.27480722287617	-1.43277375224578	-8.86393974950118	0.372766606467512	2.65482447582414	-6.05278999289194	-8.9600361808685	0.297327951440615	-8.86393974950118	0.372766606467512	0.853166487189458	0.00566453085843055	opposite_change
ENSMUSG00000028700	1.51047719006642	-1.32896585044484	-2.80407739387999	0.130148550171033	-0.0435356436848154	-2.88296882185872	-2.83125368220561	0.075199540825379	-2.80407739387999	0.130148550171033	0.430690544875065	0.0117077007393392	opposite_change
ENSMUSG00000031715	1.51046736556419	-1.01776938829215	-2.66404875902073	0.115294465051269	4.36404217541465	1.83584539998868	-2.52539064569268	1.2909787236587e-07	-2.66404875902073	0.115294465051269	0.389461528377191	0.0124036721811952	opposite_change
ENSMUSG00000027680	1.51046736556419	-1.00458573757407	-2.66400916847803	0.113610454699596	5.46491623263795	2.94990432887574	-2.52054834572985	1.05216937380986e-12	-2.66400916847803	0.113610454699596	0.38570392104932	0.012488173326156	opposite_change
ENSMUSG00000021270	1.51046736556419	-1.11697911347202	-2.66434668612337	0.105778273302198	4.77907450229087	2.15166965973138	-2.63440575489655	1.07705380367507e-09	-2.66434668612337	0.105778273302198	0.365194987966048	0.0128983945813044	opposite_change
ENSMUSG00000034297	1.51046736556419	-1.31039488562968	-2.6643269136674	0.0981075803388178	3.74521246371065	0.924392640778595	-2.81737378864499	2.657262687103e-06	-2.6643269136674	0.0981075803388178	0.342995284112007	0.0133307268654162	opposite_change
ENSMUSG00000052539	1.51046736556419	-1.45471968790779	-2.66415972088144	0.0946043596155286	2.52698368960268	-0.438161377810105	-2.98643289321882	0.00159587482467134	-2.66415972088144	0.0946043596155286	0.333338337600929	0.0135395467503083	opposite_change
ENSMUSG00000004846	1.51046736556419	-1.38810217493063	-2.66395966828992	0.0924122878989324	4.83431046294921	1.93578570904614	-2.90699424206952	4.1095523928377e-11	-2.66395966828992	0.0924122878989324	0.327689691974639	0.0136741822261383	opposite_change
ENSMUSG00000003154	1.51046736556419	-2.29077781406935	-3.55235733805678	0.0904482555516817	0.748362350918414	-3.05283632040261	-3.87390987000967	0.0526084543871392	-3.55235733805678	0.0904482555516817	0.321633520071131	0.0137975524803064	opposite_change
ENSMUSG00000024542	1.51046736556419	-1.38865221133466	-2.66396132005089	0.0901859371653856	3.98573811601183	1.08666219156714	-2.89414814420646	2.61421876594811e-07	-2.66396132005089	0.0901859371653856	0.321123805289414	0.0138142324095176	opposite_change
ENSMUSG00000051557	1.75840407908425	-1.30726985558204	-3.05576030440975	0.077268014930221	-3.32826970288547	-6.39394493461425	-3.05689580229071	0.0872009222473395	-3.05689580229071	0.0872009222473395	0.313807052194092	0.0140075321130402	opposite_change
ENSMUSG00000089911	1.51046736556419	-1.46350289380947	-2.66418609687514	0.0857222927691858	3.46020319341948	0.486276639267224	-2.97146013250984	1.03923839214523e-05	-2.66418609687514	0.0857222927691858	0.308897821340497	0.0141057480065612	opposite_change
ENSMUSG00000013973	1.24744460948339	-1.44562746367274	-2.69027249774141	0.079837808661431	0.125588438671601	-2.56747589802018	-2.69337433382165	0.0273518164865523	-2.69027249774141	0.079837808661431	0.290799251791096	0.0145141621938581	opposite_change
